teu_id,pm_name,qc_pick_start_min,qc_load_to_pm_stop_min,pm_travel_to_yard_stop_min,pm_unload_stop_min,pm_return_stop_min
1,pm_01,0.0,4.0,35.42748638333333,37.42748638333333,68.85497274999999
2,pm_02,5.0,9.0,40.42748638333333,42.42748638333333,73.85497274999999
3,pm_03,10.0,14.0,45.42748638333333,47.42748638333333,78.85497274999999
4,pm_04,15.0,19.0,50.42748638333333,52.42748638333333,83.85497274999999
5,pm_05,20.0,24.0,55.42748638333333,57.42748638333333,88.85497274999999
6,pm_06,25.0,29.0,60.42748638333333,62.42748638333333,93.85497274999999
7,pm_07,30.0,34.0,65.42748638333333,67.42748638333333,98.85497274999999
8,pm_08,35.0,39.0,70.42748638333335,72.42748638333335,103.85497274999999
9,pm_09,40.0,44.0,75.42748638333335,77.42748638333335,108.85497274999999
10,pm_10,45.0,49.0,80.42748638333335,82.42748638333335,113.85497274999999
11,pm_01,50.0,69.85497274999999,101.28245913333333,103.28245913333333,134.7099455
12,pm_02,70.85497274999999,74.85497274999999,106.28245913333333,108.28245913333333,139.70994549999998
13,pm_03,75.85497274999999,79.85497274999999,111.28245913333333,113.28245913333333,144.70994549999998
14,pm_04,80.85497274999999,84.85497274999999,116.28245913333333,118.28245913333333,149.70994549999998
15,pm_05,85.85497274999999,89.85497274999999,121.28245913333333,123.28245913333333,154.70994549999998
16,pm_06,90.85497274999999,94.85497274999999,126.28245913333333,128.28245913333333,159.70994549999998
17,pm_07,95.85497274999999,99.85497274999999,131.28245913333333,133.28245913333333,164.70994549999998
18,pm_08,100.85497274999999,104.85497274999999,136.28245913333333,138.28245913333333,169.70994549999998
19,pm_09,105.85497274999999,109.85497274999999,141.28245913333333,143.28245913333333,174.70994549999998
20,pm_10,110.85497274999999,114.85497274999999,146.28245913333333,148.28245913333333,179.70994549999998
21,pm_01,115.85497274999999,135.7099455,167.13743188333333,169.13743188333333,200.56491825
22,pm_02,136.70994549999998,140.70994549999998,172.13743188333333,174.13743188333333,205.56491825
23,pm_03,141.70994549999998,145.70994549999998,177.13743188333333,179.13743188333333,210.56491825
24,pm_04,146.70994549999998,150.70994549999998,182.13743188333333,184.13743188333333,215.56491825
25,pm_05,151.70994549999998,155.70994549999998,187.13743188333333,189.13743188333333,220.56491825
26,pm_06,156.70994549999998,160.70994549999998,192.13743188333333,194.13743188333333,225.56491825
27,pm_07,161.70994549999998,165.70994549999998,197.13743188333333,199.13743188333333,230.56491825
28,pm_08,166.70994549999998,170.70994549999998,202.13743188333333,204.13743188333333,235.56491825
29,pm_09,171.70994549999998,175.70994549999998,207.13743188333333,209.13743188333333,240.56491825
30,pm_10,176.70994549999998,180.70994549999998,212.13743188333333,214.13743188333333,245.56491825
31,pm_01,181.70994549999998,201.56491825,232.99240463333334,234.99240463333334,266.419891
32,pm_02,202.56491825,206.56491825,237.99240463333334,239.99240463333334,271.419891
33,pm_03,207.56491825,211.56491825,242.99240463333334,244.99240463333334,276.41989099999995
34,pm_04,212.56491825,216.56491825,247.99240463333334,249.99240463333334,281.41989099999995
35,pm_05,217.56491825,221.56491825,252.99240463333334,254.99240463333334,286.41989099999995
36,pm_06,222.56491825,226.56491825,257.9924046333333,259.9924046333333,291.41989099999995
37,pm_07,227.56491825,231.56491825,262.9924046333333,264.9924046333333,296.41989099999995
38,pm_08,232.56491825,236.56491825,267.9924046333333,269.9924046333333,301.41989099999995
39,pm_09,237.56491825,241.56491825,272.9924046333333,274.99240463333336,306.41989099999995
40,pm_10,242.56491825,246.56491825,277.99240463333336,279.99240463333336,311.41989099999995
41,pm_01,247.56491825,267.419891,298.8473773833333,300.8473773833333,332.27486375
42,pm_02,268.419891,272.419891,303.8473773833333,305.8473773833333,337.27486375
43,pm_03,273.41989099999995,277.41989099999995,308.8473773833333,310.8473773833333,342.27486375
44,pm_04,278.41989099999995,282.41989099999995,313.8473773833333,315.8473773833333,347.27486375
45,pm_05,283.41989099999995,287.41989099999995,318.8473773833333,320.8473773833333,352.27486375
46,pm_06,288.41989099999995,292.41989099999995,323.8473773833333,325.8473773833333,357.27486375
47,pm_07,293.41989099999995,297.41989099999995,328.8473773833333,330.8473773833333,362.27486375
48,pm_08,298.41989099999995,302.41989099999995,333.8473773833333,335.8473773833333,367.27486375
49,pm_09,303.41989099999995,307.41989099999995,338.8473773833333,340.8473773833333,372.27486375
50,pm_10,308.41989099999995,312.41989099999995,343.8473773833333,345.8473773833333,377.27486375
