Timestamp,ActivityState,activity_name,teu_id,pm_name,activity_type,activity_order
1970-01-01 00:40:25.649183,START,TEU_2_pm_unload_pm_02,2,pm_02,pm_unload,6
1970-01-01 00:42:25.649183,STOP,TEU_2_pm_unload_pm_02,2,pm_02,pm_unload,6
1970-01-01 00:00:00.000000,WAIT_START,TEU_2_pm_return_pm_02,2,pm_02,pm_return,7
1970-01-01 00:42:25.649183,WAIT_STOP,TEU_2_pm_return_pm_02,2,pm_02,pm_return,7
1970-01-01 00:42:25.649183,START,TEU_2_pm_return_pm_02,2,pm_02,pm_return,7
1970-01-01 01:13:51.298365,STOP,TEU_2_pm_return_pm_02,2,pm_02,pm_return,7
1970-01-01 00:00:00.000000,WAIT_START,TEU_3_qc_pick_pm_03,3,pm_03,qc_pick,1
1970-01-01 00:10:00.000000,WAIT_STOP,TEU_3_qc_pick_pm_03,3,pm_03,qc_pick,1
1970-01-01 00:10:00.000000,START,TEU_3_qc_pick_pm_03,3,pm_03,qc_pick,1
1970-01-01 00:11:00.000000,STOP,TEU_3_qc_pick_pm_03,3,pm_03,qc_pick,1
1970-01-01 00:00:00.000000,WAIT_START,TEU_3_qc_transfer_pm_03,3,pm_03,qc_transfer,2
1970-01-01 00:11:00.000000,WAIT_STOP,TEU_3_qc_transfer_pm_03,3,pm_03,qc_transfer,2
1970-01-01 00:11:00.000000,START,TEU_3_qc_transfer_pm_03,3,pm_03,qc_transfer,2
1970-01-01 00:13:00.000000,STOP,TEU_3_qc_transfer_pm_03,3,pm_03,qc_transfer,2
1970-01-01 00:00:00.000000,WAIT_START,TEU_3_qc_load_to_pm_pm_03,3,pm_03,qc_load_to_pm,3
1970-01-01 00:13:00.000000,WAIT_STOP,TEU_3_qc_load_to_pm_pm_03,3,pm_03,qc_load_to_pm,3
1970-01-01 00:13:00.000000,START,TEU_3_qc_load_to_pm_pm_03,3,pm_03,qc_load_to_pm,3
1970-01-01 00:14:00.000000,STOP,TEU_3_qc_load_to_pm_pm_03,3,pm_03,qc_load_to_pm,3
1970-01-01 00:00:00.000000,WAIT_START,TEU_3_qc_travelback_pm_03,3,pm_03,qc_travelback,4
1970-01-01 00:14:00.000000,WAIT_STOP,TEU_3_qc_travelback_pm_03,3,pm_03,qc_travelback,4
1970-01-01 00:14:00.000000,START,TEU_3_qc_travelback_pm_03,3,pm_03,qc_travelback,4
1970-01-01 00:15:00.000000,STOP,TEU_3_qc_travelback_pm_03,3,pm_03,qc_travelback,4
