Timestamp,ActivityID,ActivityState,ObjectState,ActivityLabel,object
1970-01-01 01:34:00.000000,99565090-8e5b-4224-a9ba-104eebd14fa2,START,"{'container level': 34, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 01:38:00.000000,99565090-8e5b-4224-a9ba-104eebd14fa2,STOP,"{'container level': 33, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 01:40:00.000000,e5118e7c-7d54-476a-b4a0-d908a11fd9d9,START,"{'container level': 33, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 01:44:00.000000,e5118e7c-7d54-476a-b4a0-d908a11fd9d9,STOP,"{'container level': 32, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 01:46:00.000000,86ac83e7-53b0-43b5-8a82-2721fceb8661,START,"{'container level': 32, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 01:50:00.000000,86ac83e7-53b0-43b5-8a82-2721fceb8661,STOP,"{'container level': 31, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 01:52:00.000000,fb99e62e-654a-4f7e-b3ca-4463d6165901,START,"{'container level': 31, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 01:56:00.000000,fb99e62e-654a-4f7e-b3ca-4463d6165901,STOP,"{'container level': 30, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 01:58:00.000000,819a2265-6a0c-4ee4-9005-3703043150d9,START,"{'container level': 30, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 02:02:00.000000,819a2265-6a0c-4ee4-9005-3703043150d9,STOP,"{'container level': 29, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 02:04:00.000000,d9c74355-af0b-4ca6-b50e-c6de208dfe74,START,"{'container level': 29, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 02:08:00.000000,d9c74355-af0b-4ca6-b50e-c6de208dfe74,STOP,"{'container level': 28, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 02:10:00.000000,d08b4f54-2707-4766-ba1f-4bc427d8f96b,START,"{'container level': 28, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
