Timestamp,ActivityState,activity_name,teu_id,pm_name,activity_type,activity_order
2024-01-01 07:00:00.000000,START,TEU_1_qc_pick_qc_01,1,,qc_pick,1
2024-01-01 07:01:00.000000,STOP,TEU_1_qc_pick_qc_01,1,,qc_pick,1
2024-01-01 07:00:00.000000,WAIT_START,TEU_1_qc_transfer_qc_01,1,,qc_transfer,2
2024-01-01 07:01:00.000000,WAIT_STOP,TEU_1_qc_transfer_qc_01,1,,qc_transfer,2
2024-01-01 07:01:00.000000,START,TEU_1_qc_transfer_qc_01,1,,qc_transfer,2
2024-01-01 07:02:00.000000,STOP,TEU_1_qc_transfer_qc_01,1,,qc_transfer,2
2024-01-01 07:00:00.000000,WAIT_START,TEU_1_qc_load_to_pm_pm_01,1,pm_01,qc_load_to_pm,3
2024-01-01 07:02:00.000000,WAIT_STOP,TEU_1_qc_load_to_pm_pm_01,1,pm_01,qc_load_to_pm,3
2024-01-01 07:02:00.000000,START,TEU_1_qc_load_to_pm_pm_01,1,pm_01,qc_load_to_pm,3
2024-01-01 07:04:00.000000,STOP,TEU_1_qc_load_to_pm_pm_01,1,pm_01,qc_load_to_pm,3
2024-01-01 07:00:00.000000,WAIT_START,TEU_1_qc_travelback_pm_01,1,pm_01,qc_travelback,4
2024-01-01 07:04:00.000000,WAIT_STOP,TEU_1_qc_travelback_pm_01,1,pm_01,qc_travelback,4
2024-01-01 07:04:00.000000,START,TEU_1_qc_travelback_pm_01,1,pm_01,qc_travelback,4
2024-01-01 07:05:00.000000,STOP,TEU_1_qc_travelback_pm_01,1,pm_01,qc_travelback,4
2024-01-01 07:00:00.000000,WAIT_START,TEU_1_pm_travel_to_Yard4_pm_01,1,pm_01,pm_travel_to_yard,5
2024-01-01 07:04:00.000000,WAIT_STOP,TEU_1_pm_travel_to_Yard4_pm_01,1,pm_01,pm_travel_to_yard,5
2024-01-01 07:04:00.000000,START,TEU_1_pm_travel_to_Yard4_pm_01,1,pm_01,pm_travel_to_yard,5
2024-01-01 07:04:49.127167,STOP,TEU_1_pm_travel_to_Yard4_pm_01,1,pm_01,pm_travel_to_yard,5
2024-01-01 07:00:00.000000,WAIT_START,TEU_1_pm_unload_Yard4_pm_01,1,pm_01,pm_unload,6
2024-01-01 07:04:49.127167,WAIT_STOP,TEU_1_pm_unload_Yard4_pm_01,1,pm_01,pm_unload,6
2024-01-01 07:04:49.127167,START,TEU_1_pm_unload_Yard4_pm_01,1,pm_01,pm_unload,6
2024-01-01 07:06:49.127167,STOP,TEU_1_pm_unload_Yard4_pm_01,1,pm_01,pm_unload,6
2024-01-01 07:00:00.000000,WAIT_START,TEU_1_pm_return_pm_01,1,pm_01,pm_return,7
2024-01-01 07:06:49.127167,WAIT_STOP,TEU_1_pm_return_pm_01,1,pm_01,pm_return,7
2024-01-01 07:06:49.127167,START,TEU_1_pm_return_pm_01,1,pm_01,pm_return,7
2024-01-01 07:07:38.254333,STOP,TEU_1_pm_return_pm_01,1,pm_01,pm_return,7
2024-01-01 07:01:00.000000,START,TEU_2_qc_pick_qc_02,2,,qc_pick,1
2024-01-01 07:02:00.000000,STOP,TEU_2_qc_pick_qc_02,2,,qc_pick,1
2024-01-01 07:00:00.000000,WAIT_START,TEU_2_qc_transfer_qc_02,2,,qc_transfer,2
2024-01-01 07:02:00.000000,WAIT_STOP,TEU_2_qc_transfer_qc_02,2,,qc_transfer,2
2024-01-01 07:02:00.000000,START,TEU_2_qc_transfer_qc_02,2,,qc_transfer,2
2024-01-01 07:03:00.000000,STOP,TEU_2_qc_transfer_qc_02,2,,qc_transfer,2
2024-01-01 07:00:00.000000,WAIT_START,TEU_2_qc_load_to_pm_pm_02,2,pm_02,qc_load_to_pm,3
2024-01-01 07:03:00.000000,WAIT_STOP,TEU_2_qc_load_to_pm_pm_02,2,pm_02,qc_load_to_pm,3
2024-01-01 07:03:00.000000,START,TEU_2_qc_load_to_pm_pm_02,2,pm_02,qc_load_to_pm,3
2024-01-01 07:05:00.000000,STOP,TEU_2_qc_load_to_pm_pm_02,2,pm_02,qc_load_to_pm,3
2024-01-01 07:00:00.000000,WAIT_START,TEU_2_qc_travelback_pm_02,2,pm_02,qc_travelback,4
2024-01-01 07:05:00.000000,WAIT_STOP,TEU_2_qc_travelback_pm_02,2,pm_02,qc_travelback,4
2024-01-01 07:05:00.000000,START,TEU_2_qc_travelback_pm_02,2,pm_02,qc_travelback,4
2024-01-01 07:06:00.000000,STOP,TEU_2_qc_travelback_pm_02,2,pm_02,qc_travelback,4
2024-01-01 07:00:00.000000,WAIT_START,TEU_2_pm_travel_to_Yard1_pm_02,2,pm_02,pm_travel_to_yard,5
2024-01-01 07:05:00.000000,WAIT_STOP,TEU_2_pm_travel_to_Yard1_pm_02,2,pm_02,pm_travel_to_yard,5
2024-01-01 07:05:00.000000,START,TEU_2_pm_travel_to_Yard1_pm_02,2,pm_02,pm_travel_to_yard,5
2024-01-01 07:05:12.281792,STOP,TEU_2_pm_travel_to_Yard1_pm_02,2,pm_02,pm_travel_to_yard,5
2024-01-01 07:00:00.000000,WAIT_START,TEU_2_pm_unload_Yard1_pm_02,2,pm_02,pm_unload,6
2024-01-01 07:05:12.281792,WAIT_STOP,TEU_2_pm_unload_Yard1_pm_02,2,pm_02,pm_unload,6
2024-01-01 07:05:12.281792,START,TEU_2_pm_unload_Yard1_pm_02,2,pm_02,pm_unload,6
2024-01-01 07:07:12.281792,STOP,TEU_2_pm_unload_Yard1_pm_02,2,pm_02,pm_unload,6
2024-01-01 07:00:00.000000,WAIT_START,TEU_2_pm_return_pm_02,2,pm_02,pm_return,7
