Timestamp,ActivityID,ActivityState,ObjectState,ActivityLabel,object
1970-01-01 01:34:00.000000,efea8537-1016-4dfc-9d60-2014454d025b,START,"{'container level': 34, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 01:38:00.000000,efea8537-1016-4dfc-9d60-2014454d025b,STOP,"{'container level': 33, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 01:40:00.000000,40e4a2b5-8aaa-4443-966c-5ce6625ce738,START,"{'container level': 33, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 01:44:00.000000,40e4a2b5-8aaa-4443-966c-5ce6625ce738,STOP,"{'container level': 32, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 01:46:00.000000,df7c7338-de85-4182-839c-584b0aa5bcb7,START,"{'container level': 32, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 01:50:00.000000,df7c7338-de85-4182-839c-584b0aa5bcb7,STOP,"{'container level': 31, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 01:52:00.000000,702fbc6e-db1b-4a70-96f2-bb5d896bc7f9,START,"{'container level': 31, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 01:56:00.000000,702fbc6e-db1b-4a70-96f2-bb5d896bc7f9,STOP,"{'container level': 30, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 01:58:00.000000,8f418cf3-2f86-4281-bb80-d8a1baa7df2c,START,"{'container level': 30, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 02:02:00.000000,8f418cf3-2f86-4281-bb80-d8a1baa7df2c,STOP,"{'container level': 29, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 02:04:00.000000,c38d9fb5-ad40-441f-b4d4-67c1bff53a59,START,"{'container level': 29, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 02:08:00.000000,c38d9fb5-ad40-441f-b4d4-67c1bff53a59,STOP,"{'container level': 28, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 02:10:00.000000,3f325471-0bd0-4f83-83a6-02a70b41797d,START,"{'container level': 28, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 02:14:00.000000,3f325471-0bd0-4f83-83a6-02a70b41797d,STOP,"{'container level': 27, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 02:16:00.000000,1889500c-857d-4d8e-9940-9d592e7fdd9d,START,"{'container level': 27, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 02:20:00.000000,1889500c-857d-4d8e-9940-9d592e7fdd9d,STOP,"{'container level': 26, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 02:22:00.000000,33329a9f-9d84-4476-acbe-902e66de8a64,START,"{'container level': 26, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 02:26:00.000000,33329a9f-9d84-4476-acbe-902e66de8a64,STOP,"{'container level': 25, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 02:28:00.000000,d341133a-9c19-413f-81ef-29b2862f93ef,START,"{'container level': 25, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 02:32:00.000000,d341133a-9c19-413f-81ef-29b2862f93ef,STOP,"{'container level': 24, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 02:34:00.000000,a3612ac1-193e-47ba-b472-aa0b02786f18,START,"{'container level': 24, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 02:38:00.000000,a3612ac1-193e-47ba-b472-aa0b02786f18,STOP,"{'container level': 23, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 02:40:00.000000,c26ea9c8-a218-4952-9475-566fb5484985,START,"{'container level': 23, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 02:44:00.000000,c26ea9c8-a218-4952-9475-566fb5484985,STOP,"{'container level': 22, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 02:46:00.000000,483bed80-e752-400f-8a2d-e75cefc4669e,START,"{'container level': 22, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 02:50:00.000000,483bed80-e752-400f-8a2d-e75cefc4669e,STOP,"{'container level': 21, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 02:52:00.000000,61868b2a-20a3-4ca2-9dcf-fb550b2b75d0,START,"{'container level': 21, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 02:56:00.000000,61868b2a-20a3-4ca2-9dcf-fb550b2b75d0,STOP,"{'container level': 20, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 02:58:00.000000,d78d4381-ed87-4fae-af06-e3470802d44d,START,"{'container level': 20, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 03:02:00.000000,d78d4381-ed87-4fae-af06-e3470802d44d,STOP,"{'container level': 19, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 03:04:00.000000,37d4bdb5-2e49-4cd8-911e-5e995509ebae,START,"{'container level': 19, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 03:08:00.000000,37d4bdb5-2e49-4cd8-911e-5e995509ebae,STOP,"{'container level': 18, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 03:10:00.000000,f9996dca-d7c1-4f82-ab03-eeb8def18e3b,START,"{'container level': 18, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 03:14:00.000000,f9996dca-d7c1-4f82-ab03-eeb8def18e3b,STOP,"{'container level': 17, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 03:16:00.000000,fb154d29-4e83-4b1e-bd9e-4aaddbf7fbe2,START,"{'container level': 17, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 03:20:00.000000,fb154d29-4e83-4b1e-bd9e-4aaddbf7fbe2,STOP,"{'container level': 16, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 03:22:00.000000,db84dbf5-0b9d-41d2-aa30-8881defb7be5,START,"{'container level': 16, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 03:26:00.000000,db84dbf5-0b9d-41d2-aa30-8881defb7be5,STOP,"{'container level': 15, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 03:28:00.000000,4180131d-9b57-4180-8645-411589358edf,START,"{'container level': 15, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
